number,created_at,author_id,assignee_id,description,due_at,status,updated_at
750433,2025-07-22 19:13:20.503148+00,433,21,Тестовая заявка №750433,2025-08-05 19:13:20.503148+00,in_progress,2025-08-04 19:13:20.503148+00
485433,2025-08-01 20:50:00.503148+00,433,21,Тестовая заявка №485433,2025-08-05 20:50:00.503148+00,in_progress,2025-08-04 20:50:00.503148+00
312433,2025-07-22 20:53:20.503148+00,433,21,Тестовая заявка №312433,2025-08-05 20:53:20.503148+00,in_progress,2025-08-04 20:53:20.503148+00
47433,2025-08-01 22:30:00.503148+00,433,21,Тестовая заявка №47433,2025-08-05 22:30:00.503148+00,in_progress,2025-08-04 22:30:00.503148+00
969433,2025-07-23 06:23:20.503148+00,433,21,Тестовая заявка №969433,2025-08-06 06:23:20.503148+00,in_progress,2025-08-05 06:23:20.503148+00
704433,2025-08-02 08:00:00.503148+00,433,21,Тестовая заявка №704433,2025-08-06 08:00:00.503148+00,in_progress,2025-08-05 08:00:00.503148+00
531433,2025-07-23 08:03:20.503148+00,433,21,Тестовая заявка №531433,2025-08-06 08:03:20.503148+00,in_progress,2025-08-05 08:03:20.503148+00
266433,2025-08-02 09:40:00.503148+00,433,21,Тестовая заявка №266433,2025-08-06 09:40:00.503148+00,in_progress,2025-08-05 09:40:00.503148+00
93433,2025-07-23 09:43:20.503148+00,433,21,Тестовая заявка №93433,2025-08-06 09:43:20.503148+00,in_progress,2025-08-05 09:43:20.503148+00
170433,2025-08-06 12:20:00.503148+00,433,21,Тестовая заявка №170433,2025-08-10 12:20:00.503148+00,in_progress,2025-08-09 12:20:00.503148+00
919433,2025-07-17 20:16:40.503148+00,433,21,Тестовая заявка №919433,2025-08-10 20:16:40.503148+00,in_progress,2025-07-25 20:16:40.503148+00
827433,2025-08-06 21:50:00.503148+00,433,21,Тестовая заявка №827433,2025-08-10 21:50:00.503148+00,in_progress,2025-08-09 21:50:00.503148+00
654433,2025-07-27 21:53:20.503148+00,433,21,Тестовая заявка №654433,2025-08-10 21:53:20.503148+00,in_progress,2025-08-09 21:53:20.503148+00
481433,2025-07-17 21:56:40.503148+00,433,21,Тестовая заявка №481433,2025-08-10 21:56:40.503148+00,in_progress,2025-07-25 21:56:40.503148+00
389433,2025-08-06 23:30:00.503148+00,433,21,Тестовая заявка №389433,2025-08-10 23:30:00.503148+00,in_progress,2025-08-09 23:30:00.503148+00
216433,2025-07-27 23:33:20.503148+00,433,21,Тестовая заявка №216433,2025-08-10 23:33:20.503148+00,in_progress,2025-08-09 23:33:20.503148+00
43433,2025-07-17 23:36:40.503148+00,433,21,Тестовая заявка №43433,2025-08-10 23:36:40.503148+00,in_progress,2025-07-25 23:36:40.503148+00
873433,2025-07-28 09:03:20.503148+00,433,21,Тестовая заявка №873433,2025-08-11 09:03:20.503148+00,in_progress,2025-08-10 09:03:20.503148+00
700433,2025-07-18 09:06:40.503148+00,433,21,Тестовая заявка №700433,2025-08-11 09:06:40.503148+00,in_progress,2025-07-26 09:06:40.503148+00
608433,2025-08-07 10:40:00.503148+00,433,21,Тестовая заявка №608433,2025-08-11 10:40:00.503148+00,in_progress,2025-08-10 10:40:00.503148+00
435433,2025-07-28 10:43:20.503148+00,433,21,Тестовая заявка №435433,2025-08-11 10:43:20.503148+00,in_progress,2025-08-10 10:43:20.503148+00
262433,2025-07-18 10:46:40.503148+00,433,21,Тестовая заявка №262433,2025-08-11 10:46:40.503148+00,in_progress,2025-07-26 10:46:40.503148+00
777433,2025-08-01 11:43:20.503148+00,433,21,Тестовая заявка №777433,2025-08-15 11:43:20.503148+00,in_progress,2025-08-14 11:43:20.503148+00
604433,2025-07-22 11:46:40.503148+00,433,21,Тестовая заявка №604433,2025-08-15 11:46:40.503148+00,in_progress,2025-07-30 11:46:40.503148+00
512433,2025-08-11 13:20:00.503148+00,433,21,Тестовая заявка №512433,2025-08-15 13:20:00.503148+00,in_progress,2025-08-14 13:20:00.503148+00
339433,2025-08-01 13:23:20.503148+00,433,21,Тестовая заявка №339433,2025-08-15 13:23:20.503148+00,in_progress,2025-08-14 13:23:20.503148+00
166433,2025-07-22 13:26:40.503148+00,433,21,Тестовая заявка №166433,2025-08-15 13:26:40.503148+00,in_progress,2025-07-30 13:26:40.503148+00
74433,2025-08-11 15:00:00.503148+00,433,21,Тестовая заявка №74433,2025-08-15 15:00:00.503148+00,in_progress,2025-08-14 15:00:00.503148+00
996433,2025-08-01 22:53:20.503148+00,433,21,Тестовая заявка №996433,2025-08-15 22:53:20.503148+00,in_progress,2025-08-14 22:53:20.503148+00
823433,2025-07-22 22:56:40.503148+00,433,21,Тестовая заявка №823433,2025-08-15 22:56:40.503148+00,in_progress,2025-07-30 22:56:40.503148+00
731433,2025-08-12 00:30:00.503148+00,433,21,Тестовая заявка №731433,2025-08-16 00:30:00.503148+00,in_progress,2025-08-15 00:30:00.503148+00
558433,2025-08-02 00:33:20.503148+00,433,21,Тестовая заявка №558433,2025-08-16 00:33:20.503148+00,in_progress,2025-08-15 00:33:20.503148+00
385433,2025-07-23 00:36:40.503148+00,433,21,Тестовая заявка №385433,2025-08-16 00:36:40.503148+00,in_progress,2025-07-31 00:36:40.503148+00
293433,2025-08-12 02:10:00.503148+00,433,21,Тестовая заявка №293433,2025-08-16 02:10:00.503148+00,in_progress,2025-08-15 02:10:00.503148+00
120433,2025-08-02 02:13:20.503148+00,433,21,Тестовая заявка №120433,2025-08-16 02:13:20.503148+00,in_progress,2025-08-15 02:13:20.503148+00
950433,2025-08-12 11:40:00.503148+00,433,21,Тестовая заявка №950433,2025-08-16 11:40:00.503148+00,in_progress,2025-08-15 11:40:00.503148+00
946433,2025-07-27 12:46:40.503148+00,433,21,Тестовая заявка №946433,2025-08-20 12:46:40.503148+00,in_progress,2025-08-04 12:46:40.503148+00
854433,2025-08-16 14:20:00.503148+00,433,21,Тестовая заявка №854433,2025-08-20 14:20:00.503148+00,in_progress,2025-08-19 14:20:00.503148+00
681433,2025-08-06 14:23:20.503148+00,433,21,Тестовая заявка №681433,2025-08-20 14:23:20.503148+00,in_progress,2025-08-19 14:23:20.503148+00
508433,2025-07-27 14:26:40.503148+00,433,21,Тестовая заявка №508433,2025-08-20 14:26:40.503148+00,in_progress,2025-08-04 14:26:40.503148+00
416433,2025-08-16 16:00:00.503148+00,433,21,Тестовая заявка №416433,2025-08-20 16:00:00.503148+00,in_progress,2025-08-19 16:00:00.503148+00
243433,2025-08-06 16:03:20.503148+00,433,21,Тестовая заявка №243433,2025-08-20 16:03:20.503148+00,in_progress,2025-08-19 16:03:20.503148+00
70433,2025-07-27 16:06:40.503148+00,433,21,Тестовая заявка №70433,2025-08-20 16:06:40.503148+00,in_progress,2025-08-04 16:06:40.503148+00
900433,2025-08-07 01:33:20.503148+00,433,21,Тестовая заявка №900433,2025-08-21 01:33:20.503148+00,in_progress,2025-08-20 01:33:20.503148+00
727433,2025-07-28 01:36:40.503148+00,433,21,Тестовая заявка №727433,2025-08-21 01:36:40.503148+00,in_progress,2025-08-05 01:36:40.503148+00
635433,2025-08-17 03:10:00.503148+00,433,21,Тестовая заявка №635433,2025-08-21 03:10:00.503148+00,in_progress,2025-08-20 03:10:00.503148+00
462433,2025-08-07 03:13:20.503148+00,433,21,Тестовая заявка №462433,2025-08-21 03:13:20.503148+00,in_progress,2025-08-20 03:13:20.503148+00
289433,2025-07-28 03:16:40.503148+00,433,21,Тестовая заявка №289433,2025-08-21 03:16:40.503148+00,in_progress,2025-08-05 03:16:40.503148+00
197433,2025-08-17 04:50:00.503148+00,433,21,Тестовая заявка №197433,2025-08-21 04:50:00.503148+00,in_progress,2025-08-20 04:50:00.503148+00
24433,2025-08-07 04:53:20.503148+00,433,21,Тестовая заявка №24433,2025-08-21 04:53:20.503148+00,in_progress,2025-08-20 04:53:20.503148+00
850433,2025-08-01 15:26:40.503148+00,433,21,Тестовая заявка №850433,2025-08-25 15:26:40.503148+00,in_progress,2025-08-09 15:26:40.503148+00
758433,2025-08-21 17:00:00.503148+00,433,21,Тестовая заявка №758433,2025-08-25 17:00:00.503148+00,in_progress,2025-08-24 17:00:00.503148+00
585433,2025-08-11 17:03:20.503148+00,433,21,Тестовая заявка №585433,2025-08-25 17:03:20.503148+00,in_progress,2025-08-24 17:03:20.503148+00
412433,2025-08-01 17:06:40.503148+00,433,21,Тестовая заявка №412433,2025-08-25 17:06:40.503148+00,in_progress,2025-08-09 17:06:40.503148+00
320433,2025-08-21 18:40:00.503148+00,433,21,Тестовая заявка №320433,2025-08-25 18:40:00.503148+00,in_progress,2025-08-24 18:40:00.503148+00
147433,2025-08-11 18:43:20.503148+00,433,21,Тестовая заявка №147433,2025-08-25 18:43:20.503148+00,in_progress,2025-08-24 18:43:20.503148+00
977433,2025-08-22 04:10:00.503148+00,433,21,Тестовая заявка №977433,2025-08-26 04:10:00.503148+00,in_progress,2025-08-25 04:10:00.503148+00
804433,2025-08-12 04:13:20.503148+00,433,21,Тестовая заявка №804433,2025-08-26 04:13:20.503148+00,in_progress,2025-08-25 04:13:20.503148+00
631433,2025-08-02 04:16:40.503148+00,433,21,Тестовая заявка №631433,2025-08-26 04:16:40.503148+00,in_progress,2025-08-10 04:16:40.503148+00
539433,2025-08-22 05:50:00.503148+00,433,21,Тестовая заявка №539433,2025-08-26 05:50:00.503148+00,in_progress,2025-08-25 05:50:00.503148+00
366433,2025-08-12 05:53:20.503148+00,433,21,Тестовая заявка №366433,2025-08-26 05:53:20.503148+00,in_progress,2025-08-25 05:53:20.503148+00
193433,2025-08-02 05:56:40.503148+00,433,21,Тестовая заявка №193433,2025-08-26 05:56:40.503148+00,in_progress,2025-08-10 05:56:40.503148+00
101433,2025-08-22 07:30:00.503148+00,433,21,Тестовая заявка №101433,2025-08-26 07:30:00.503148+00,in_progress,2025-08-25 07:30:00.503148+00
927433,2025-08-16 18:03:20.503148+00,433,21,Тестовая заявка №927433,2025-08-30 18:03:20.503148+00,in_progress,2025-08-29 18:03:20.503148+00
754433,2025-08-06 18:06:40.503148+00,433,21,Тестовая заявка №754433,2025-08-30 18:06:40.503148+00,in_progress,2025-08-14 18:06:40.503148+00
662433,2025-08-26 19:40:00.503148+00,433,21,Тестовая заявка №662433,2025-08-30 19:40:00.503148+00,in_progress,2025-08-29 19:40:00.503148+00
489433,2025-08-16 19:43:20.503148+00,433,21,Тестовая заявка №489433,2025-08-30 19:43:20.503148+00,in_progress,2025-08-29 19:43:20.503148+00
316433,2025-08-06 19:46:40.503148+00,433,21,Тестовая заявка №316433,2025-08-30 19:46:40.503148+00,in_progress,2025-08-14 19:46:40.503148+00
224433,2025-08-26 21:20:00.503148+00,433,21,Тестовая заявка №224433,2025-08-30 21:20:00.503148+00,in_progress,2025-08-29 21:20:00.503148+00
51433,2025-08-16 21:23:20.503148+00,433,21,Тестовая заявка №51433,2025-08-30 21:23:20.503148+00,in_progress,2025-08-29 21:23:20.503148+00
973433,2025-08-07 05:16:40.503148+00,433,21,Тестовая заявка №973433,2025-08-31 05:16:40.503148+00,in_progress,2025-08-15 05:16:40.503148+00
881433,2025-08-27 06:50:00.503148+00,433,21,Тестовая заявка №881433,2025-08-31 06:50:00.503148+00,in_progress,2025-08-30 06:50:00.503148+00
708433,2025-08-17 06:53:20.503148+00,433,21,Тестовая заявка №708433,2025-08-31 06:53:20.503148+00,in_progress,2025-08-30 06:53:20.503148+00
535433,2025-08-07 06:56:40.503148+00,433,21,Тестовая заявка №535433,2025-08-31 06:56:40.503148+00,in_progress,2025-08-15 06:56:40.503148+00
443433,2025-08-27 08:30:00.503148+00,433,21,Тестовая заявка №443433,2025-08-31 08:30:00.503148+00,in_progress,2025-08-30 08:30:00.503148+00
270433,2025-08-17 08:33:20.503148+00,433,21,Тестовая заявка №270433,2025-08-31 08:33:20.503148+00,in_progress,2025-08-30 08:33:20.503148+00
97433,2025-08-07 08:36:40.503148+00,433,21,Тестовая заявка №97433,2025-08-31 08:36:40.503148+00,in_progress,2025-08-15 08:36:40.503148+00
5433,2025-08-27 10:10:00.503148+00,433,21,Тестовая заявка №5433,2025-08-31 10:10:00.503148+00,in_progress,2025-08-30 10:10:00.503148+00
831433,2025-08-21 20:43:20.503148+00,433,21,Тестовая заявка №831433,2025-09-04 20:43:20.503148+00,in_progress,2025-09-03 20:43:20.503148+00
658433,2025-08-11 20:46:40.503148+00,433,21,Тестовая заявка №658433,2025-09-04 20:46:40.503148+00,in_progress,2025-08-19 20:46:40.503148+00
566433,2025-08-31 22:20:00.503148+00,433,21,Тестовая заявка №566433,2025-09-04 22:20:00.503148+00,in_progress,2025-09-03 22:20:00.503148+00
393433,2025-08-21 22:23:20.503148+00,433,21,Тестовая заявка №393433,2025-09-04 22:23:20.503148+00,in_progress,2025-09-03 22:23:20.503148+00
220433,2025-08-11 22:26:40.503148+00,433,21,Тестовая заявка №220433,2025-09-04 22:26:40.503148+00,in_progress,2025-08-19 22:26:40.503148+00
128433,2025-09-01 00:00:00.503148+00,433,21,Тестовая заявка №128433,2025-09-05 00:00:00.503148+00,in_progress,2025-09-04 00:00:00.503148+00
877433,2025-08-12 07:56:40.503148+00,433,21,Тестовая заявка №877433,2025-09-05 07:56:40.503148+00,in_progress,2025-08-20 07:56:40.503148+00
785433,2025-09-01 09:30:00.503148+00,433,21,Тестовая заявка №785433,2025-09-05 09:30:00.503148+00,in_progress,2025-09-04 09:30:00.503148+00
612433,2025-08-22 09:33:20.503148+00,433,21,Тестовая заявка №612433,2025-09-05 09:33:20.503148+00,in_progress,2025-09-04 09:33:20.503148+00
439433,2025-08-12 09:36:40.503148+00,433,21,Тестовая заявка №439433,2025-09-05 09:36:40.503148+00,in_progress,2025-08-20 09:36:40.503148+00
347433,2025-09-01 11:10:00.503148+00,433,21,Тестовая заявка №347433,2025-09-05 11:10:00.503148+00,in_progress,2025-09-04 11:10:00.503148+00
174433,2025-08-22 11:13:20.503148+00,433,21,Тестовая заявка №174433,2025-09-05 11:13:20.503148+00,in_progress,2025-09-04 11:13:20.503148+00
1433,2025-08-12 11:16:40.503148+00,433,21,Тестовая заявка №1433,2025-09-05 11:16:40.503148+00,in_progress,2025-08-20 11:16:40.503148+00
689433,2025-09-05 12:10:00.503148+00,433,21,Тестовая заявка №689433,2025-09-09 12:10:00.503148+00,in_progress,2025-09-08 12:10:00.503148+00
516433,2025-08-26 12:13:20.503148+00,433,21,Тестовая заявка №516433,2025-09-09 12:13:20.503148+00,in_progress,2025-09-08 12:13:20.503148+00
343433,2025-08-16 12:16:40.503148+00,433,21,Тестовая заявка №343433,2025-09-09 12:16:40.503148+00,in_progress,2025-08-24 12:16:40.503148+00
251433,2025-09-05 13:50:00.503148+00,433,21,Тестовая заявка №251433,2025-09-09 13:50:00.503148+00,in_progress,2025-09-08 13:50:00.503148+00
78433,2025-08-26 13:53:20.503148+00,433,21,Тестовая заявка №78433,2025-09-09 13:53:20.503148+00,in_progress,2025-09-08 13:53:20.503148+00
908433,2025-09-05 23:20:00.503148+00,433,21,Тестовая заявка №908433,2025-09-09 23:20:00.503148+00,in_progress,2025-09-08 23:20:00.503148+00
735433,2025-08-26 23:23:20.503148+00,433,21,Тестовая заявка №735433,2025-09-09 23:23:20.503148+00,in_progress,2025-09-08 23:23:20.503148+00
562433,2025-08-16 23:26:40.503148+00,433,21,Тестовая заявка №562433,2025-09-09 23:26:40.503148+00,in_progress,2025-08-24 23:26:40.503148+00
470433,2025-09-06 01:00:00.503148+00,433,21,Тестовая заявка №470433,2025-09-10 01:00:00.503148+00,in_progress,2025-09-09 01:00:00.503148+00
297433,2025-08-27 01:03:20.503148+00,433,21,Тестовая заявка №297433,2025-09-10 01:03:20.503148+00,in_progress,2025-09-09 01:03:20.503148+00
124433,2025-08-17 01:06:40.503148+00,433,21,Тестовая заявка №124433,2025-09-10 01:06:40.503148+00,in_progress,2025-08-25 01:06:40.503148+00
32433,2025-09-06 02:40:00.503148+00,433,21,Тестовая заявка №32433,2025-09-10 02:40:00.503148+00,in_progress,2025-09-09 02:40:00.503148+00
954433,2025-08-27 10:33:20.503148+00,433,21,Тестовая заявка №954433,2025-09-10 10:33:20.503148+00,in_progress,2025-09-09 10:33:20.503148+00
781433,2025-08-17 10:36:40.503148+00,433,21,Тестовая заявка №781433,2025-09-10 10:36:40.503148+00,in_progress,2025-08-25 10:36:40.503148+00
858433,2025-08-31 13:13:20.503148+00,433,21,Тестовая заявка №858433,2025-09-14 13:13:20.503148+00,in_progress,2025-09-13 13:13:20.503148+00
685433,2025-08-21 13:16:40.503148+00,433,21,Тестовая заявка №685433,2025-09-14 13:16:40.503148+00,in_progress,2025-08-29 13:16:40.503148+00
593433,2025-09-10 14:50:00.503148+00,433,21,Тестовая заявка №593433,2025-09-14 14:50:00.503148+00,in_progress,2025-09-13 14:50:00.503148+00
420433,2025-08-31 14:53:20.503148+00,433,21,Тестовая заявка №420433,2025-09-14 14:53:20.503148+00,in_progress,2025-09-13 14:53:20.503148+00
247433,2025-08-21 14:56:40.503148+00,433,21,Тестовая заявка №247433,2025-09-14 14:56:40.503148+00,in_progress,2025-08-29 14:56:40.503148+00
155433,2025-09-10 16:30:00.503148+00,433,21,Тестовая заявка №155433,2025-09-14 16:30:00.503148+00,in_progress,2025-09-13 16:30:00.503148+00
904433,2025-08-22 00:26:40.503148+00,433,21,Тестовая заявка №904433,2025-09-15 00:26:40.503148+00,in_progress,2025-08-30 00:26:40.503148+00
812433,2025-09-11 02:00:00.503148+00,433,21,Тестовая заявка №812433,2025-09-15 02:00:00.503148+00,in_progress,2025-09-14 02:00:00.503148+00
639433,2025-09-01 02:03:20.503148+00,433,21,Тестовая заявка №639433,2025-09-15 02:03:20.503148+00,in_progress,2025-09-14 02:03:20.503148+00
466433,2025-08-22 02:06:40.503148+00,433,21,Тестовая заявка №466433,2025-09-15 02:06:40.503148+00,in_progress,2025-08-30 02:06:40.503148+00
374433,2025-09-11 03:40:00.503148+00,433,21,Тестовая заявка №374433,2025-09-15 03:40:00.503148+00,in_progress,2025-09-14 03:40:00.503148+00
201433,2025-09-01 03:43:20.503148+00,433,21,Тестовая заявка №201433,2025-09-15 03:43:20.503148+00,in_progress,2025-09-14 03:43:20.503148+00
28433,2025-08-22 03:46:40.503148+00,433,21,Тестовая заявка №28433,2025-09-15 03:46:40.503148+00,in_progress,2025-08-30 03:46:40.503148+00
935433,2025-09-15 15:50:00.503148+00,433,21,Тестовая заявка №935433,2025-09-19 15:50:00.503148+00,in_progress,2025-09-18 15:50:00.503148+00
762433,2025-09-05 15:53:20.503148+00,433,21,Тестовая заявка №762433,2025-09-19 15:53:20.503148+00,in_progress,2025-09-18 15:53:20.503148+00
589433,2025-08-26 15:56:40.503148+00,433,21,Тестовая заявка №589433,2025-09-19 15:56:40.503148+00,in_progress,2025-09-03 15:56:40.503148+00
497433,2025-09-15 17:30:00.503148+00,433,21,Тестовая заявка №497433,2025-09-19 17:30:00.503148+00,in_progress,2025-09-18 17:30:00.503148+00
324433,2025-09-05 17:33:20.503148+00,433,21,Тестовая заявка №324433,2025-09-19 17:33:20.503148+00,in_progress,2025-09-18 17:33:20.503148+00
151433,2025-08-26 17:36:40.503148+00,433,21,Тестовая заявка №151433,2025-09-19 17:36:40.503148+00,in_progress,2025-09-03 17:36:40.503148+00
59433,2025-09-15 19:10:00.503148+00,433,21,Тестовая заявка №59433,2025-09-19 19:10:00.503148+00,in_progress,2025-09-18 19:10:00.503148+00
981433,2025-09-06 03:03:20.503148+00,433,21,Тестовая заявка №981433,2025-09-20 03:03:20.503148+00,in_progress,2025-09-19 03:03:20.503148+00
808433,2025-08-27 03:06:40.503148+00,433,21,Тестовая заявка №808433,2025-09-20 03:06:40.503148+00,in_progress,2025-09-04 03:06:40.503148+00
716433,2025-09-16 04:40:00.503148+00,433,21,Тестовая заявка №716433,2025-09-20 04:40:00.503148+00,in_progress,2025-09-19 04:40:00.503148+00
543433,2025-09-06 04:43:20.503148+00,433,21,Тестовая заявка №543433,2025-09-20 04:43:20.503148+00,in_progress,2025-09-19 04:43:20.503148+00
370433,2025-08-27 04:46:40.503148+00,433,21,Тестовая заявка №370433,2025-09-20 04:46:40.503148+00,in_progress,2025-09-04 04:46:40.503148+00
278433,2025-09-16 06:20:00.503148+00,433,21,Тестовая заявка №278433,2025-09-20 06:20:00.503148+00,in_progress,2025-09-19 06:20:00.503148+00
105433,2025-09-06 06:23:20.503148+00,433,21,Тестовая заявка №105433,2025-09-20 06:23:20.503148+00,in_progress,2025-09-19 06:23:20.503148+00
931433,2025-08-31 16:56:40.503148+00,433,21,Тестовая заявка №931433,2025-09-24 16:56:40.503148+00,in_progress,2025-09-08 16:56:40.503148+00
839433,2025-09-20 18:30:00.503148+00,433,21,Тестовая заявка №839433,2025-09-24 18:30:00.503148+00,in_progress,2025-09-23 18:30:00.503148+00
666433,2025-09-10 18:33:20.503148+00,433,21,Тестовая заявка №666433,2025-09-24 18:33:20.503148+00,in_progress,2025-09-23 18:33:20.503148+00
493433,2025-08-31 18:36:40.503148+00,433,21,Тестовая заявка №493433,2025-09-24 18:36:40.503148+00,in_progress,2025-09-08 18:36:40.503148+00
401433,2025-09-20 20:10:00.503148+00,433,21,Тестовая заявка №401433,2025-09-24 20:10:00.503148+00,in_progress,2025-09-23 20:10:00.503148+00
228433,2025-09-10 20:13:20.503148+00,433,21,Тестовая заявка №228433,2025-09-24 20:13:20.503148+00,in_progress,2025-09-23 20:13:20.503148+00
55433,2025-08-31 20:16:40.503148+00,433,21,Тестовая заявка №55433,2025-09-24 20:16:40.503148+00,in_progress,2025-09-08 20:16:40.503148+00
885433,2025-09-11 05:43:20.503148+00,433,21,Тестовая заявка №885433,2025-09-25 05:43:20.503148+00,in_progress,2025-09-24 05:43:20.503148+00
712433,2025-09-01 05:46:40.503148+00,433,21,Тестовая заявка №712433,2025-09-25 05:46:40.503148+00,in_progress,2025-09-09 05:46:40.503148+00
620433,2025-09-21 07:20:00.503148+00,433,21,Тестовая заявка №620433,2025-09-25 07:20:00.503148+00,in_progress,2025-09-24 07:20:00.503148+00
447433,2025-09-11 07:23:20.503148+00,433,21,Тестовая заявка №447433,2025-09-25 07:23:20.503148+00,in_progress,2025-09-24 07:23:20.503148+00
274433,2025-09-01 07:26:40.503148+00,433,21,Тестовая заявка №274433,2025-09-25 07:26:40.503148+00,in_progress,2025-09-09 07:26:40.503148+00
182433,2025-09-21 09:00:00.503148+00,433,21,Тестовая заявка №182433,2025-09-25 09:00:00.503148+00,in_progress,2025-09-24 09:00:00.503148+00
9433,2025-09-11 09:03:20.503148+00,433,21,Тестовая заявка №9433,2025-09-25 09:03:20.503148+00,in_progress,2025-09-24 09:03:20.503148+00
835433,2025-09-05 19:36:40.503148+00,433,21,Тестовая заявка №835433,2025-09-29 19:36:40.503148+00,in_progress,2025-09-13 19:36:40.503148+00
743433,2025-09-25 21:10:00.503148+00,433,21,Тестовая заявка №743433,2025-09-29 21:10:00.503148+00,in_progress,2025-09-28 21:10:00.503148+00
570433,2025-09-15 21:13:20.503148+00,433,21,Тестовая заявка №570433,2025-09-29 21:13:20.503148+00,in_progress,2025-09-28 21:13:20.503148+00
397433,2025-09-05 21:16:40.503148+00,433,21,Тестовая заявка №397433,2025-09-29 21:16:40.503148+00,in_progress,2025-09-13 21:16:40.503148+00
305433,2025-09-25 22:50:00.503148+00,433,21,Тестовая заявка №305433,2025-09-29 22:50:00.503148+00,in_progress,2025-09-28 22:50:00.503148+00
132433,2025-09-15 22:53:20.503148+00,433,21,Тестовая заявка №132433,2025-09-29 22:53:20.503148+00,in_progress,2025-09-28 22:53:20.503148+00
962433,2025-09-26 08:20:00.503148+00,433,21,Тестовая заявка №962433,2025-09-30 08:20:00.503148+00,in_progress,2025-09-29 08:20:00.503148+00
789433,2025-09-16 08:23:20.503148+00,433,21,Тестовая заявка №789433,2025-09-30 08:23:20.503148+00,in_progress,2025-09-29 08:23:20.503148+00
616433,2025-09-06 08:26:40.503148+00,433,21,Тестовая заявка №616433,2025-09-30 08:26:40.503148+00,in_progress,2025-09-14 08:26:40.503148+00
524433,2025-09-26 10:00:00.503148+00,433,21,Тестовая заявка №524433,2025-09-30 10:00:00.503148+00,in_progress,2025-09-29 10:00:00.503148+00
351433,2025-09-16 10:03:20.503148+00,433,21,Тестовая заявка №351433,2025-09-30 10:03:20.503148+00,in_progress,2025-09-29 10:03:20.503148+00
178433,2025-09-06 10:06:40.503148+00,433,21,Тестовая заявка №178433,2025-09-30 10:06:40.503148+00,in_progress,2025-09-14 10:06:40.503148+00
86433,2025-09-26 11:40:00.503148+00,433,21,Тестовая заявка №86433,2025-09-30 11:40:00.503148+00,in_progress,2025-09-29 11:40:00.503148+00
